,date,AAPL,JPM,XOM,F,LMT
320,2022-04-25,162.88,126.77,82.26,15.19,442.89
321,2022-04-26,156.8,123.02,82.29,14.71,446.09
322,2022-04-27,156.57,121.42,84.64,14.85,444.98
323,2022-04-28,163.64,123.34,87.2,14.62,441.71
324,2022-04-29,157.65,119.36,85.25,14.16,432.12
325,2022-05-02,157.96,120.45,86.41,14.27,430.81
326,2022-05-03,159.48,123.03,88.19,14.56,434.77
327,2022-05-04,166.02,127.1,91.7,14.98,445.74
328,2022-05-05,156.77,123.92,90.31,14.53,443.15
329,2022-05-06,157.28,123.72,91.69,14.21,449.43
330,2022-05-09,152.06,121.86,84.46,13.37,438.84
331,2022-05-10,154.51,118.89,85.02,13.35,439.13
332,2022-05-11,146.5,118.14,86.79,12.83,440.41
333,2022-05-12,142.56,118.04,86.3,12.44,434.59
334,2022-05-13,147.11,119.09,88.86,13.5,435.17
335,2022-05-16,145.54,118.26,90.95,13.05,437.55
336,2022-05-17,149.24,122.18,92.11,13.53,441.0
337,2022-05-18,140.82,120.09,90.65,12.78,434.33
338,2022-05-19,137.35,118.31,91.14,12.85,425.62
339,2022-05-20,137.59,117.34,91.86,12.5,424.15
340,2022-05-23,143.11,124.6,93.89,12.83,433.03
341,2022-05-24,140.36,126.36,94.4,12.42,442.78
342,2022-05-25,140.52,127.24,96.3,12.71,447.54
343,2022-05-26,143.78,129.44,96.64,13.12,447.99
344,2022-05-27,149.64,131.27,97.59,13.63,450.56
345,2022-05-31,148.84,132.23,96.0,13.68,440.11
346,2022-06-01,148.71,129.91,97.84,13.55,439.3
347,2022-06-02,151.21,132.0,97.67,13.89,441.11
348,2022-06-03,145.38,130.16,99.09,13.5,442.69
349,2022-06-06,146.14,129.73,98.84,13.46,443.41
350,2022-06-07,148.71,130.07,103.37,13.74,456.3
351,2022-06-08,147.96,128.0,104.59,13.53,443.41
352,2022-06-09,142.64,125.31,102.33,13.28,432.72
353,2022-06-10,137.13,119.55,100.46,12.75,430.19
354,2022-06-13,131.88,115.99,95.85,11.81,423.93
355,2022-06-14,132.76,114.06,96.1,12.2,416.17
356,2022-06-15,135.43,115.41,94.89,12.27,414.1
357,2022-06-16,130.06,113.43,91.39,11.25,404.79
358,2022-06-17,131.56,113.03,86.12,11.23,404.01
359,2022-06-21,135.87,115.83,91.48,11.46,418.96
360,2022-06-22,135.35,115.18,87.86,11.48,415.45
361,2022-06-23,138.27,113.92,85.21,11.56,410.62
362,2022-06-24,141.66,117.32,86.9,12.01,419.04
363,2022-06-27,141.66,116.38,89.03,12.04,419.25
364,2022-06-28,137.44,115.82,91.5,11.81,420.71
365,2022-06-29,139.23,115.3,88.12,11.52,418.89
366,2022-06-30,136.72,112.61,85.64,11.13,429.96
367,2022-07-01,138.93,114.05,87.55,11.32,433.52
368,2022-07-05,141.56,112.62,84.81,11.2,415.25
369,2022-07-06,142.92,111.89,83.28,11.06,425.89
370,2022-07-07,146.35,114.72,85.94,11.65,422.19
371,2022-07-08,147.04,114.36,86.08,11.62,420.35
372,2022-07-11,144.87,112.86,85.64,11.29,419.07
373,2022-07-12,145.86,112.97,84.5,11.56,413.99
374,2022-07-13,145.49,111.91,84.84,11.51,408.0
375,2022-07-14,148.47,108.0,83.14,11.39,400.31
376,2022-07-15,150.17,112.95,84.54,11.88,398.38
377,2022-07-18,147.07,111.79,86.1,11.96,387.28
378,2022-07-19,151.0,114.56,88.27,12.59,390.38
379,2022-07-20,153.04,114.54,89.24,12.73,395.22
380,2022-07-21,155.35,115.32,87.75,13.0,395.2
381,2022-07-22,154.09,114.76,87.08,12.82,394.74
382,2022-07-25,152.95,115.22,89.98,12.84,399.8
383,2022-07-26,151.6,113.42,89.63,12.54,396.81
384,2022-07-27,156.79,115.24,91.57,13.19,398.54
385,2022-07-28,157.35,114.81,92.64,14.0,406.08
386,2022-07-29,162.51,115.36,96.93,14.69,413.81
387,2022-08-01,161.51,114.21,94.48,15.34,419.28
388,2022-08-02,160.01,112.43,94.07,15.16,428.78
389,2022-08-03,166.13,113.61,91.02,15.69,429.3
390,2022-08-04,165.81,112.36,87.19,15.37,428.13
391,2022-08-05,165.35,115.76,88.45,15.3,426.41
392,2022-08-08,164.87,114.35,88.95,15.78,423.86
393,2022-08-09,164.92,115.38,90.59,15.19,428.55
394,2022-08-10,169.24,118.39,91.45,15.5,429.99
395,2022-08-11,168.49,120.14,93.19,15.83,428.85
396,2022-08-12,172.1,122.13,94.0,16.18,434.24
397,2022-08-15,173.19,122.46,92.32,16.32,438.01
398,2022-08-16,173.03,123.63,91.46,16.43,440.16
399,2022-08-17,174.55,122.59,92.2,16.03,441.59
400,2022-08-18,174.15,121.64,94.38,16.15,439.35
401,2022-08-19,171.52,118.63,94.08,15.88,440.03
402,2022-08-22,167.57,116.67,94.01,15.08,432.33
403,2022-08-23,167.23,115.52,98.0,15.32,433.12
404,2022-08-24,167.53,115.8,98.58,15.52,433.71
405,2022-08-25,170.03,118.55,99.09,15.93,438.64
406,2022-08-26,163.62,114.67,97.87,15.41,431.13
407,2022-08-29,161.38,114.39,100.12,15.57,429.68
408,2022-08-30,158.91,114.41,96.31,15.45,425.11
409,2022-08-31,157.22,113.73,95.59,15.24,420.11
410,2022-09-01,157.96,114.51,93.87,15.19,422.61
411,2022-09-02,155.81,113.71,95.59,15.16,418.57
412,2022-09-06,154.53,113.74,94.95,15.03,417.78
413,2022-09-07,155.96,115.9,94.14,15.43,420.14
414,2022-09-08,154.46,118.6,94.91,15.47,419.65
415,2022-09-09,157.37,119.17,96.5,15.42,421.53
416,2022-09-12,163.43,120.58,97.61,15.54,418.64
417,2022-09-13,153.84,116.39,95.33,14.74,409.33
418,2022-09-14,155.31,116.12,97.67,14.66,416.63
419,2022-09-15,152.37,117.87,94.83,14.89,413.59
420,2022-09-16,150.7,117.08,93.21,14.72,414.29
421,2022-09-19,154.48,118.16,93.2,14.93,416.52
422,2022-09-20,156.9,115.83,92.44,13.09,420.58
423,2022-09-21,153.72,112.49,90.95,13.05,420.2
424,2022-09-22,152.74,111.21,90.57,12.77,422.08
425,2022-09-23,150.43,109.14,85.75,12.31,413.07
426,2022-09-26,150.77,106.79,83.98,11.99,407.65
427,2022-09-27,151.76,105.85,85.74,11.91,399.74
428,2022-09-28,149.84,107.99,88.86,12.18,400.0
429,2022-09-29,142.48,106.16,88.68,11.47,389.79
430,2022-09-30,138.2,104.5,87.31,11.2,386.29
431,2022-10-03,142.45,107.73,91.92,11.47,399.74
432,2022-10-04,146.1,112.77,95.27,12.36,406.11
433,2022-10-05,146.4,110.39,99.12,12.51,402.51
434,2022-10-06,145.43,108.14,102.06,12.36,399.61
435,2022-10-07,140.09,105.98,101.03,12.2,403.96
436,2022-10-10,140.42,104.99,98.84,11.36,409.99
437,2022-10-11,138.98,101.96,98.0,11.56,411.06
438,2022-10-12,138.34,103.61,98.43,11.54,397.42
439,2022-10-13,142.99,109.37,101.87,11.77,405.96
440,2022-10-14,138.38,111.19,99.19,11.67,389.41
441,2022-10-17,142.41,115.86,100.62,11.83,397.31
442,2022-10-18,143.75,118.84,100.8,12.03,431.84
443,2022-10-19,143.86,116.51,103.79,12.13,439.96
444,2022-10-20,143.39,116.13,103.93,11.77,444.34
445,2022-10-21,147.27,122.23,105.86,12.19,454.61
446,2022-10-24,149.45,122.38,106.6,12.48,457.46
447,2022-10-25,152.34,122.7,105.88,12.83,460.15
448,2022-10-26,149.35,124.11,107.14,12.82,462.56
449,2022-10-27,144.8,124.6,107.55,13.0,471.93
450,2022-10-28,155.74,126.08,110.7,13.26,484.87
451,2022-10-31,153.34,125.88,110.81,13.37,486.68
452,2022-11-01,150.65,128.15,111.91,13.4,485.63
453,2022-11-02,145.03,126.97,109.61,13.06,482.06
454,2022-11-03,138.88,127.2,111.1,13.26,484.82
455,2022-11-04,138.38,130.68,112.31,13.51,481.67
456,2022-11-07,138.92,131.37,113.64,13.7,488.63
457,2022-11-08,139.5,131.45,114.0,13.72,494.12
458,2022-11-09,134.87,129.74,108.9,13.31,485.18
459,2022-11-10,146.87,135.08,110.5,14.18,490.77
460,2022-11-11,149.7,135.3,113.95,14.5,463.86
461,2022-11-14,148.28,133.91,113.37,14.06,462.04
462,2022-11-15,150.04,132.94,114.13,14.3,467.25
463,2022-11-16,148.79,133.12,112.91,13.9,466.24
464,2022-11-17,150.72,132.54,113.06,13.91,472.77
